onca,caseiro,notícia,comment_text
0,1,1,"Vê os vídeos senas fortes , ela ainda atacou um dos homens que estavam na buscas 🥹"
1,1,2,"Duas feras juntas, que aula!!!"
1,1,1,Onde você viu o vídeo?
1,2,1,Sentimentos a família do rapaz. Deus tenha misericórdia de sua alma 🙏🏻🙏🏻🙏🏻
1,1,1,Queimam as matas e acaba o alimento delas
1,1,1,Tem onça na Bahia?
1,0,1,Verdade é:<br>Veio alimentava a Onça.
1,1,1,Os patrões tem paga emdenizasao pra família
1,1,0,"Péssima reportagem, inventou varias narrativas  e caiu em contradição umas 3 vezes."
0,1,1,Pois é. Não dá nem pra sacrificar o bicho porque tá em extinção
1,1,1,"Moro no meio da Floresta Amazônica, vim a trabalho, o que posso dizer é que toda vez que sinto cheiro de onça eu tranco o butão. KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK      Inclusive daqui a meia hora estou indo pra mais uma trilha."
1,1,1,"É, as palavras tem poder, seja para o bem ou para o mal"
1,1,1,Q o animal seja protegido para q a próxima vítima seja vc 😅
1,2,1,Muito  delicado ❤triste  Jesus Cristo  conforte  á  família
1,1,1,LEVA ELA PRO XANDÂO  FAZER O JULGAMENTO  DELA E PRENDER  ELA JUNTO COM OS POLÍTICOS.
1,1,1,"Eu ficariA,porém teria pelo menos 3 cães comigo.Sempre  eu andaria com esses 3 cães.Quem mora no mato sabe da precisão de andar acompanhado com cães.Quem não conhece o ditado:Vc está no mato sem cachorro."
1,1,1,Kkkkkkk
0,2,1,"É verdade, a onça estava com fome.mas deveríamos se preocuparem mais com as pessoas, porque aquele animal não faz falta pra ninguém.A vida  do Jorge e mais importante. Marilinda Dias.Fortaleza."
1,2,1,Também pensei o mesmo na dor que ele possa ter sentido😢
1,1,1,kkkkkk
1,1,1,Bom dia ogd  vídeo
0,1,1,Comeu 1 come vários! Bala nelas
1,0,1,Podia ter evitado.
1,1,1,😅😂😂😂😂😂😂
1,1,1,uma coisa é matar por defesa outra é matar por esporte.
0,1,1,Ai depois que mata um animal desse a tal &quot;justiça&quot; ainda quer prender a pessoa
0,2,1,Tristeza!A pintada atacou ferozmente e ele não teve como escapar.<br>Meus sentimentos à família.
1,1,0,Que merda de simulação
1,1,1,Esse biologo deve ir fazer acampamento sozinho lá  no pantanal pra ver se as onças iam dispensa ele
1,1,1,O Sérjão berranteiro já avisou mais ninguém deu bola aí a o  cagadão aí.
1,1,0,Bando de mentiroso
0,1,1,Eu tenho pavor de onça
1,1,1,"As pessoas não sabem interpretar as coisas. Os biólogos e veterinários não estão falando que onças não atacam seres humanos, estão dizendo que elas não predam seres humanos e que ataques são raros, que o que houve foi incomum. O que os especialistas estão tentando entender é pq a onça enxergou o seu Jorge como ALIMENTO"
2,1,1,"Tudo verdade o que foi dito,o animal não pode ser punido, quem invadiu o abitarte do animal foi o homem"
1,0,1,"Acidente por falta de cuidado , as jurarcas não se alimentam de Humanas , mas o Animal que matambm no Brasil , outras cobras, os mosquitos , o.Aedes mata mais que cobras! Só não comem Humanos , o Fato desta onças comerem a carne Humana deve ser investigado,  Atacar o Ser Humano , o Java Porco Atacam ,  invadem e atacam, morar no Mato sem Cachorro ? Naquele Locas no mínimo 5 cachorros para tomar conta do.perimetro evitar ataques,   todas as chacaas precisam ter cachorros , e uma questão de segurança! Um absurdo não.ter cachorros naquele lugar cheio de animais Selvagens, se tem.onça e ligar Selvagem ,óbvio,,Cães Pastores são usados a centenas de anos para proteger o Gado e os Humanos , no mundo , onças Pardas , Tigres , e lobos , ataques de lobos nos USA e Canadá por exemplo,  um erro imaginar que Onças pintadas convivem bem com Humanos e pode até ser Bicho de estimação,  Erro Grave ! Acreditar que onças não atacam ser Humano ! mesmo a Onça Parda atacam , depende da situação,  Elas caçam.Humanos , não!  Caçar é atacar são cousas Bem  diferentes , vários animais Selvagens atacam seres Humanos ! Caçar para comer apenas alguns,   outra mentira é que as Orcas não atacam.o ser Humano , mesma que as onças,  não caçam não se alimentam,  mas podem atacar sim ! Depende!  Arriscar ser atacado por um animal poderoso como as Onças e  falta de informação! O governo deve Obrigas os Propietarios de sítios,  pesqueiro onde tem incas a ter cachorros.mimino 4 por questões dr segurança dos Humanos que morar naquele local , deveriam ter Sarue também. Cobras invadem as casas"
1,1,0,"@1968Mineirinha  kkkk, vc não viu que o vídeo é fake news kkkk"
1,1,0,montagem
1,1,1,O homen fala no vídeo que são 3 onças 😮
1,1,1,Eu quero saber a verdade
1,1,1,Ia pedir licença para ir até o arsenal escolher a arma?
1,0,1,Meus sentimentos para toda família e a amigos. <br>Descansa em paz Jorge 😢
1,1,1,O ser humano  está invadindo o habitat das onças.
