onca,caseiro,notícia,comment_text
1,1,1,Solta no congresso
1,1,2,"vídeo direto, respeitoso, sem sensacionalismo e sem fake news"
1,1,2,Essa reportagem foi a melhor parabéns
1,0,1,As patas 🐾 das onças no chão foi um aviso pra seu Jorge ficar mais atento .Infelizmente  a onça  e a morte já estavam rodeando ele.
1,0,1,"Se o cara viu que onça estava rondando a casa dele literalmente, deveria ter tomado providencias! Não se brinca com essas coisas!"
1,1,1,"Os animais são irracional, não age por maldade, age por instinto.Que Deus conforte essa família."
1,2,2,Equipe de reportagem está de parabéns! Minha solidariedade aos familiares e amigos da vítima.
1,1,2,Parabéns pelo vídeo. Sem sensacionalismo e informativo. Coisa rara hoje em dia.
1,1,1,"Essa fatalidade só  ocorreu pq várias pessoas que pescavam jogavam peixe para ela comer como a onça é um animal oportunista, nesse local ela tinha água ( rio) e os humanos dando peixe para ela quando iam pescar, ela tomou aquele local como seu território e com isso ela não  via seu Jorge como uma ameaça  e aconteceu o ataque ( pq estava com fome) por estar mal acostumada a ter acesso ao alimento de forma fácil. Predadores nao querem gastar emergia demasiada para caçar  se tiver animais que são  mais faceis de predar ( cães, galinhas, bezerros, porcos) ela vai ficar próxima  ao local é  onde pode acontecer um acidente e infelismente uma fatalidade como essa. Esse animal só  foi capturado pq a probabilidade de ela atacar um ser humano novamente pode ser grande."
0,0,1,"É estratégia da onça, observar e marcar o território. <br>A onça já vinha sondando o rancho já há dias, e estava na espreita do caseiro. <br>O ataque era só questão de oportunidade. <br>O caseiro infelizmente vacilou, estava muito tranquilo e despreocupado com as pegadas de duas onças rodeando o local."
1,1,1,"Eu sou daqui da região <br>E conheço o pessoal q estava na busca pelo Jorginho <br>E vou deixar vcs realmente informados..<br>No dia q a onça voltou , eles estavam esperando ela armados e na hora q ela pulou pra dentro ,foi bala nela  e já era ..<br>De manhã o pessoal do CRAS chegaram e conseguiram capturar uma das 3 onças q rodeava a casa porq o Jorginho dava comida pra elas ... Essa não é a mesma onça do ataque , <br>Espero q a verdade seja dita logo pela mídia"
1,1,1,Minhas condolências a família do sr Jorge 😢😢😢😢
1,1,1,"Que tragédia, sentimentos aos familiares 😢"
2,1,2,"Parabéns pelo vídeo, esses animais são esplêndidos mas não podemos nos esquecer que são selvagens e nós é que estamos no habitat natural deles então devemos respeita-los e termos muito cuidado"
1,1,2,"Que Deus conforte os corações dos familiares. <br>Parabens, excelente reportagem!"
1,1,1,O bixo e lindo porém brabo demais cê tá doído 😮
1,1,0,O meu pai foi atacado por uma...ficou bastante ferido mais Deus livrou🙌🏽 estado do Tocantins
0,1,0,"É, infelizmente esses animais ferozes, estão com seus instintos a flor da pele, devido ao desmatamento do próprio ambiente, seja por fogo ou retirada de árvores, e quem paga muitas das vezes é alguém inocente, que Deus tenha misericórdia dos corações enlutados dos familiares em nome de Jesus."
0,0,0,"Sabendo que tinha onça, eu nunca ficaria no lugar"
1,0,2,"Toda pessoa que mora em zona rural tem que além das outras precauções, andar sempre armada para se proteger e proteger a família pois os perigos são inúmeros."
0,1,1,Eles estão tentando acalmar os moradores....mas tem mais onças
1,0,0,Nunca pedimos nada né? 🤣🤣🤣🤣🤣
2,1,2,"É uma lástima... A onça é o único felino de grande porte (entre tigre, leão, leopardo e etc) que não nos vê como alimento.<br>Foram situações que se juntaram e que permitiram que este desastre acontecesse. Fica o alerta para todos nós, evite interagir e/ou alimentar animais selvagens.<br>Muito triste. Minhas condolências aos familiares e amigos do seu Jorge."
1,0,0,A onça não come carne de péssima qualidade 😂
1,1,2,Reportagem completa e educativa 😊
1,1,1,"É, as palavras tem poder, seja para o bem ou para o mal"
2,1,1,Tadinha da onça
1,0,1,O Jorge confiou muito na onça
0,0,1,"Informações muito bem postas. <br><br>Ficou-se a impressão de que as onças brigavam pra ver qual iria cacá-lo primeiro. <br>Com o perigo eminente não se brinca, pois são felinos grandes, ágeis, observadores e fortes."
0,1,1,"Até pq uma onça que comeu mais de meio corpo humano estaria de barriga cheia, não magro e desnutrido como foi encontrado esse macho velho ...."
1,1,1,Parabéns pela reportagem Sentimento aos familiares
2,2,1,"Tadinho de seu Jorginho 🙏 E fica claro que esses animais magníficos de nossa fauna estão passando fome, mas por quê? ...E que zoom maravilhoso da cara da onça."
2,1,1,"Acredito que os incêndios do último verão podem ter desequilibrado o ambiente,a ponto de faltarem alimentos para alguns animais,como onças,por exemplo."
1,2,1,"Tadinho do Jorge,descanse em paz 💔🖤🥀😭"
0,1,1,Por isso que eu falo os animais estão tendo mais valor que os seres humanos
1,0,1,"​@@MegaLemoslemos Chama o IBAMA, ele estava alimentando a onça em vez ter chamado o IBAMA"
1,1,1,😂😂😂😂😂
1,0,1,Tudo indica que o seu Jorge estava acostumado com as onças visitando o local. Talvez por isso ele não se sentia ameaçado e nem tinha medo. Ele mesmo disse que as onças o respeitavam e corriam quando o enxergavam. Com certeza o seu Jorge subestimou o perigo que corria.
1,1,1,Ele devia ter aconselhado o caseiro mas ele ficou bricando com coisa séria
1,0,0,Muita mancada dar comida pra onças no terreiro de casa.
1,0,1,"O cara brincou, brincou, brincou e acabou devorado. Deixa a 5a série na 5a série, a vida adulta exige seriedade. Se ele tivesse agido e tomado providências, não tinha acabado desse jeito. Força para a família que fica, que terá que lidar com uma perda dessa forma trágica."
1,2,0,"Que pavor esse senhorzinho passou e que dor deve ter sentido 😢😢😢, que Deus conforte a família desse sr"
1,2,1,Porque o proprietário não tomou providência para ligar para a polícia ambiental para capturar esse animal Jaque o senhorzinho morava sozinho sem defesa num pesqueiro desse grande esse trabalho era de alta periculosidade vamos respeitar a família para poder receber todos os seus direitos trabalhista que esta esculpido na CF do Brasil visto que ele faleceu no trabalho.
1,1,2,"A onça era alimentada com frequência pelos barqueiros da região, que levavam turistas ao local, cobrando por isso. Isso está claro, quando diz que o animal não se intimida com a presença de pessoas. Infelizmente o ribeirinho foi a vítima (já anunciada pelo amigo) de uma atividade considerada ILEGAL e inconsequente. Que a polícia investigue o caso e prendam os barqueiros responsáveis."
1,1,1,"Rapaz aqui ta cheio de especialistas em onça, que isso, so feras, parabéns galera."
1,1,1,"Nessa propriedade não deveria haver ao menos uns três ou quatro cães, pelo menos, com funções de alerta?"
1,1,1,"Com 94kg,e “tá magra”. Imagina a força dessa criatura"
1,1,0,"Me formei em biologia em 2005 e ao longo desses anos tive alguns contatos com especialistas em grandes felinos e também com muitos moradores de zonas rurais, que sempre me relataram ser muito raro o ataque de onças aos humanos.. E até acredito que seja mesmo...<br>Mas a impressão é de que esses ataques estão aumentando a frequência ultimamente... Ou talvez temos mais acesso às informações e também é mais fácil divulgar o ocorrido, de tempos pra cá..."
1,0,2,"Tá explicado. O básico de qualquer manual de acampamento é o cuidado com os restos de alimentos, no caso de limpar peixes na beira do rio se não puder levar o resto do peixe, o melhor a fazer é jogar na água."
0,1,0,Você tem toda a razão animais estão sendo mais valorizados do que o ser humano
1,1,0,"Eles jamais vão falar a verdade.<br>Se inventaram a mentira, é pq não querem que a verdade apareça...😢"
1,1,1,"94 kg 😮😮😮😮 o bicho é grande pra caramba brother😮😮😮 coitado do moço,mas infelizmente foi uma fatalidade!!"
2,1,2,"Sinto pelo falecimento do caseiro. Deus conforte a família.  Que bom que a resgataram deve estar debilitada. Preservar onças, a natureza é importante.  Bacana a reportagem."
1,1,1,Gente  como doi ver essa cena  deus conforte  a familia
1,1,2,"Parabéns pelas informações, essa é a melhor e bem mais esclarecedora reportagem."
1,1,2,"Viva ao YouTube... para que mais assitir TV.  A matéria ficou show, parabéns! 👏"
1,0,1,Claro ...se você eu não ficaria lá..vazava p longe 😮 o medo é uma forma da gente se proteger..
1,1,1,"<a href=""https://www.youtube.com/watch?v=CUf1T3dPFj4&amp;t=85"">1:25</a> o que o cara falou na zoeira, se tornou realidade &quot;A onça vai comer o Jorge&quot; as palavras tem poder!!"
0,1,1,"No Brasil, a vida de um animal vale mais que a do homem..."
1,2,1,O que ele poderia fazer?Parece que ele era o caseiro né.
1,1,2,Ótima reportagem! Parabéns pelo ótimo trabalho! Quem dera a mídia em geral fosse mais assim como vcs!
1,1,2,Boa noite pra mim foi a melhor reportagem completa.
0,1,1,A onça é mais protegida do que o ser humano.Esse é o nosso país.
0,1,1,Num éh?!...
1,1,1,"@@robertosilveira2566 mas é geralmente isso que acontece, ele acostuma com as coisas fáceis e ai quando não dá parte para cima. Nos EUA tem muito isso com o urso preto."
1,2,1,"@@Eduardo-wz1fw não é verdade, o cunhado dele já desmentiu isso, ele não cevava as onças. Foi só inocência mesmo, ele achava que não seria atacado pq as onças andavam por lá há muito tempo e nunca tinha acontecido nada"
0,0,1,"Ouvi uma fala q pra mim foi exatamente oq aconteceu (a onça amansou ele )e axo q ele perdeu a noção do perigo q no mínimo sempre q fosse pro quintal uma boa faca pantaneira como companheira, e fica aqui nosso profundo sentimento ao familiares."
1,0,1,O cunhado tava brincando mais ai ja foi um alerta pra ele ficar esperto mais infelizmente seu Jorge nao acreditou  que ela pudesse atacalo porque nao é normal uma onça ficar perto de   seres humanos mais como eles  deixaram ela se aproximar deles além dos peixes que tinha ali por perto a onça viu seu Jorge uma presa facil poriço o atacou muito triste mais aconteceu essa fatalidade
1,1,1,Duas não  eram três  onças  uma fêmea e  dois machos
1,0,0,Parabéns pela explicação meus sentimentos a família de seu Jorge. Minha opinião ele se descuido pós sabia que a onça estava na porta da casa dele deveria andar armado antes o ser humano vivo do que a onça. Mais agora esse trabalhador não volta mais. Resta agora os outros trabalhadores andar armado. Essa onça deveria ser solta dentro das salas dos peritos tem muitas gente sofrendo por enfermidade muitos sem poder andar vai lá eles nega um benefício que é direto da gente.
1,1,1,Acostumaram a onça com comida fácil resolveu parar de caçar jacaré e outras presas pra que trabalhar afinal?parece até uma região do Brasil Acostumaram com bolsa família.
1,1,1,​@@luispaulocarvalhorachi6553e ali onde tinha as pegadas era onde ele limpava os peixes .acho que também isso atraíram eles
1,0,1,Uma lição com essa tragédia:<br>Nunca subestime o seu adversário!<br>O cunhado tinha alertado ele!<br>Mas ele levou a profecia na brincadeira!
0,2,1,Quanto  dinheiro gastado pra proteger uma fera dessa e o Jorge  k era um trabalhador pensou nele  se ele estivesse  matado  ela estava na cadeia  mas ela não  está  sendo protegida . E a família  dele alguém aí  pensou????
0,0,0,Quer dizer que a recomendação se encontrar a onça é chamar a polícia ou o corpo de bombeiros? Então a onça vai esperar eu fazer a ligação para esses órgãos responsável? Coitado do seu George ele escutou vocês.😮
0,0,0,"Se o Jorge tivesse matado ela ,ia preso ,e multa milionária ,os valores se inverteram,triste"
1,1,1,"A culpa é do patrão, sabia dos riscos que o caseiro passava e não quis fazer nada"
0,0,1,"Que coisa mais linda, olha a chance que a onça deu ao seu Jorge de procurar polícia ambiental,devorou o homem agora vai ser tratada como rainha,se eu morasse nessa região certamente seria preso porque se viesse no meu pátio era recebida com chumbo"
1,1,1,"Jesus filho do Deus vivo e soberano, o Salvador do mundo!"
2,0,1,"Esse vídeo me explicou muita coisa, a onça não estava caçando o caseiro como dizem, ela estava atrás de peixe, esse felino estava faminto, provavelmente não tinha Muitos animais pra ela caçar, o caseiro estava no lugar errado na hora errada, onças não caçam humanos elas tem medo do homem, não duvido nada Q as pessoas daquele pesqueiro jogava peixe pras onças, essa onça sabia que ali é um pesqueiro, por isso sempre ia lá atrás de Peixes 😮"
2,1,1,"Lamentável né,deveria ter mais cuidado pois foram vistas no local 😣,apesar de ser um dos  animais mais lindo da natureza e muito feroz tb,o certo não seria invadir o habitat natural deles né!"
0,1,1,"Aqui no Pará próximo a Altamira uma onça pegou uma criança,  fizeram muito esforço para encontrar o rapaz que matou essa onça ,e ainda é por que a criança era filho de uma prima do perfeito no município em que ocorreu o caso.o ser humano tem menos importância que esses animais."
2,1,1,"SIM tem mais onças POIS é o hábitat delas, e ñ é todas  q pegou o sr Jorge foi só uma q já pegaram ela"
2,1,1,"Os animais possuem um certo nível de racionalidade e os humanos são mais instintivos do que as pessoas comuns acreditam de acordo com as neurociências, etologia e outras disciplinas que estudam o cérebro de pessoas e bichos."
1,1,1,Será que que foi a mesma onça que atacou ele que foi capturada?
